,Date,HA,Opponent,Team,link,pa,pf,week,game_id,Abbreviation
120,11/17/2018,A,Washington St.,Arizona,/game/football/fbs/2018/11/17/arizona-washington-st,69,28,12,12Arizona,ARI
121,11/17/2018,H,Oregon St.,Washington,/game/football/fbs/2018/11/17/oregon-st-washington,23,42,12,12Washington,WAS
122,11/17/2018,A,Washington,Oregon St.,/game/football/fbs/2018/11/17/oregon-st-washington,42,23,12,12Oregon St.,ORS
123,11/17/2018,H,Utah,Colorado,/game/football/fbs/2018/11/17/utah-colorado,30,7,12,12Colorado,COL
124,11/17/2018,A,Colorado,Utah,/game/football/fbs/2018/11/17/utah-colorado,7,30,12,12Utah,UTH
125,11/17/2018,H,USC,UCLA,/game/football/fbs/2018/11/17/southern-california-ucla,27,34,12,12UCLA,UCLA
126,11/17/2018,H,Arizona St.,Oregon,/game/football/fbs/2018/11/17/arizona-st-oregon,29,31,12,12Oregon,ORE
127,11/17/2018,A,Oregon,Arizona St.,/game/football/fbs/2018/11/17/arizona-st-oregon,31,29,12,12Arizona St.,ASU
128,11/23/2018,H,Washington,Washington St.,/game/football/fbs/2018/11/23/washington-washington-st,28,15,13,13Washington St.,WST
129,11/23/2018,A,Washington St.,Washington,/game/football/fbs/2018/11/23/washington-washington-st,15,28,13,13Washington,WAS
130,11/23/2018,H,Oregon,Oregon St.,/game/football/fbs/2018/11/23/oregon-oregon-st,55,15,13,13Oregon St.,ORS
131,11/23/2018,A,Oregon St.,Oregon,/game/football/fbs/2018/11/23/oregon-oregon-st,15,55,13,13Oregon,ORE
132,11/24/2018,H,BYU,Utah,/game/football/fbs/2018/11/24/byu-utah,27,35,13,13Utah,UTH
133,11/24/2018,H,Stanford,UCLA,/game/football/fbs/2018/11/24/stanford-ucla,49,42,13,13UCLA,UCLA
134,11/24/2018,A,UCLA,Stanford,/game/football/fbs/2018/11/24/stanford-ucla,42,49,13,13Stanford,STA
135,11/24/2018,H,Arizona St.,Arizona,/game/football/fbs/2018/11/24/arizona-st-arizona,41,40,13,13Arizona,ARI
136,11/24/2018,A,Arizona,Arizona St.,/game/football/fbs/2018/11/24/arizona-st-arizona,40,41,13,13Arizona St.,ASU
137,11/24/2018,H,Colorado,California,/game/football/fbs/2018/11/24/colorado-california,21,33,13,13California,CAL
138,11/24/2018,A,California,Colorado,/game/football/fbs/2018/11/24/colorado-california,33,21,13,13Colorado,COL
139,11/30/2018,H,Utah,Washington,/game/football/fbs/2018/11/30/utah-washington,3,10,14,14Washington,WAS
140,11/30/2018,A,Washington,Utah,/game/football/fbs/2018/11/30/utah-washington,10,3,14,14Utah,UTH
141,12/01/2018,H,Stanford,California,/game/football/fbs/2018/12/01/stanford-california,23,13,14,14California,CAL
142,12/01/2018,A,California,Stanford,/game/football/fbs/2018/12/01/stanford-california,13,23,14,14Stanford,STA
143,12/15/2018,A,Fresno State,Arizona St.,/game/football/fbs/2018/12/15/arizona-st-fresno-st,31,20,P,PArizona St.,ASU
144,12/26/2018,A,TCU,California,/game/football/fbs/2018/12/26/california-tcu,10,7,P,PCalifornia,CAL
145,12/28/2018,H,Iowa State,Washington St.,/game/football/fbs/2018/12/28/iowa-st-washington-st,26,28,P,PWashington St.,WST
146,12/31/2018,H,Northwestern,Utah,/game/football/fbs/2018/12/31/northwestern-utah,31,20,P,PUtah,UTH
147,12/31/2018,A,Pittsburgh,Stanford,/game/football/fbs/2018/12/31/stanford-pittsburgh,13,14,P,PStanford,STA
148,12/31/2018,H,Mich. St. ,Oregon,/game/football/fbs/2018/12/31/michigan-st-oregon,6,7,P,POregon,ORE
149,01/01/2019,A,Ohio St. ,Washington,/game/football/fbs/2019/01/01/washington-ohio-st,28,23,P,PWashington,WAS
